n:1 mse_avg:9.76 mse_y:10.97 mse_u:7.93 mse_v:6.72 psnr_avg:38.24 psnr_y:37.73 psnr_u:39.14 psnr_v:39.86 
n:86 mse_avg:1137.34 mse_y:1642.82 mse_u:207.74 mse_v:45.01 psnr_avg:17.57 psnr_y:15.97 psnr_u:24.96 psnr_v:31.60 
n:87 mse_avg:1112.49 mse_y:1605.11 mse_u:210.40 mse_v:44.11 psnr_avg:17.67 psnr_y:16.08 psnr_u:24.90 psnr_v:31.69 
n:88 mse_avg:1109.13 mse_y:1601.07 mse_u:205.32 mse_v:45.19 psnr_avg:17.68 psnr_y:16.09 psnr_u:25.01 psnr_v:31.58 
n:89 mse_avg:1137.47 mse_y:1642.42 mse_u:209.02 mse_v:46.11 psnr_avg:17.57 psnr_y:15.98 psnr_u:24.93 psnr_v:31.49 
n:90 mse_avg:1100.49 mse_y:1588.31 mse_u:204.00 mse_v:45.71 psnr_avg:17.71 psnr_y:16.12 psnr_u:25.03 psnr_v:31.53 
n:91 mse_avg:1051.83 mse_y:1515.75 mse_u:203.25 mse_v:44.69 psnr_avg:17.91 psnr_y:16.32 psnr_u:25.05 psnr_v:31.63 
n:92 mse_avg:1107.03 mse_y:1597.50 mse_u:206.93 mse_v:45.26 psnr_avg:17.69 psnr_y:16.10 psnr_u:24.97 psnr_v:31.57 
n:93 mse_avg:1118.09 mse_y:1611.91 mse_u:214.45 mse_v:46.47 psnr_avg:17.65 psnr_y:16.06 psnr_u:24.82 psnr_v:31.46 
n:94 mse_avg:1155.84 mse_y:1666.63 mse_u:220.62 mse_v:47.91 psnr_avg:17.50 psnr_y:15.91 psnr_u:24.69 psnr_v:31.33 
n:95 mse_avg:1152.05 mse_y:1659.89 mse_u:224.02 mse_v:48.72 psnr_avg:17.52 psnr_y:15.93 psnr_u:24.63 psnr_v:31.25 
n:96 mse_avg:1103.93 mse_y:1590.98 mse_u:212.78 mse_v:46.89 psnr_avg:17.70 psnr_y:16.11 psnr_u:24.85 psnr_v:31.42 
n:97 mse_avg:1072.91 mse_y:1544.98 mse_u:209.94 mse_v:47.59 psnr_avg:17.83 psnr_y:16.24 psnr_u:24.91 psnr_v:31.36 
n:98 mse_avg:1054.34 mse_y:1519.80 mse_u:201.78 mse_v:45.04 psnr_avg:17.90 psnr_y:16.31 psnr_u:25.08 psnr_v:31.59 
n:99 mse_avg:1171.81 mse_y:1690.47 mse_u:221.02 mse_v:47.94 psnr_avg:17.44 psnr_y:15.85 psnr_u:24.69 psnr_v:31.32 
n:100 mse_avg:1181.97 mse_y:1705.04 mse_u:224.25 mse_v:47.38 psnr_avg:17.40 psnr_y:15.81 psnr_u:24.62 psnr_v:31.37 
n:101 mse_avg:1263.47 mse_y:1823.89 mse_u:235.48 mse_v:49.76 psnr_avg:17.12 psnr_y:15.52 psnr_u:24.41 psnr_v:31.16 
n:102 mse_avg:1287.46 mse_y:1862.00 mse_u:228.29 mse_v:48.47 psnr_avg:17.03 psnr_y:15.43 psnr_u:24.55 psnr_v:31.28 
n:103 mse_avg:1379.23 mse_y:1998.34 mse_u:232.84 mse_v:49.15 psnr_avg:16.73 psnr_y:15.12 psnr_u:24.46 psnr_v:31.22 
n:104 mse_avg:1449.26 mse_y:2101.99 mse_u:238.67 mse_v:48.95 psnr_avg:16.52 psnr_y:14.90 psnr_u:24.35 psnr_v:31.23 
n:105 mse_avg:1434.32 mse_y:2079.36 mse_u:238.53 mse_v:49.92 psnr_avg:16.56 psnr_y:14.95 psnr_u:24.36 psnr_v:31.15 
n:106 mse_avg:1416.45 mse_y:2052.05 mse_u:241.78 mse_v:48.71 psnr_avg:16.62 psnr_y:15.01 psnr_u:24.30 psnr_v:31.25 
n:107 mse_avg:1507.84 mse_y:2186.87 mse_u:250.66 mse_v:48.90 psnr_avg:16.35 psnr_y:14.73 psnr_u:24.14 psnr_v:31.24 
n:108 mse_avg:1438.82 mse_y:2086.12 mse_u:239.56 mse_v:48.89 psnr_avg:16.55 psnr_y:14.94 psnr_u:24.34 psnr_v:31.24 
n:109 mse_avg:1334.58 mse_y:1931.27 mse_u:234.71 mse_v:47.70 psnr_avg:16.88 psnr_y:15.27 psnr_u:24.43 psnr_v:31.35 
n:110 mse_avg:1366.54 mse_y:1980.04 mse_u:232.89 mse_v:46.16 psnr_avg:16.77 psnr_y:15.16 psnr_u:24.46 psnr_v:31.49 
n:111 mse_avg:1327.74 mse_y:1921.59 mse_u:234.51 mse_v:45.59 psnr_avg:16.90 psnr_y:15.29 psnr_u:24.43 psnr_v:31.54 
n:112 mse_avg:1359.64 mse_y:1967.45 mse_u:241.13 mse_v:46.89 psnr_avg:16.80 psnr_y:15.19 psnr_u:24.31 psnr_v:31.42 
n:113 mse_avg:1380.43 mse_y:1997.42 mse_u:245.62 mse_v:47.26 psnr_avg:16.73 psnr_y:15.13 psnr_u:24.23 psnr_v:31.39 
n:114 mse_avg:1289.46 mse_y:1865.65 mse_u:227.10 mse_v:47.07 psnr_avg:17.03 psnr_y:15.42 psnr_u:24.57 psnr_v:31.40 
n:115 mse_avg:1324.57 mse_y:1917.69 mse_u:228.89 mse_v:47.77 psnr_avg:16.91 psnr_y:15.30 psnr_u:24.53 psnr_v:31.34 
n:116 mse_avg:1302.90 mse_y:1885.86 mse_u:227.42 mse_v:46.54 psnr_avg:16.98 psnr_y:15.38 psnr_u:24.56 psnr_v:31.45 
n:117 mse_avg:1339.13 mse_y:1936.76 mse_u:239.18 mse_v:48.56 psnr_avg:16.86 psnr_y:15.26 psnr_u:24.34 psnr_v:31.27 
n:118 mse_avg:1420.02 mse_y:2055.08 mse_u:249.34 mse_v:50.45 psnr_avg:16.61 psnr_y:15.00 psnr_u:24.16 psnr_v:31.10 
n:119 mse_avg:1334.25 mse_y:1928.76 mse_u:240.73 mse_v:49.77 psnr_avg:16.88 psnr_y:15.28 psnr_u:24.32 psnr_v:31.16 
n:120 mse_avg:1237.77 mse_y:1786.82 mse_u:232.78 mse_v:46.54 psnr_avg:17.20 psnr_y:15.61 psnr_u:24.46 psnr_v:31.45 
n:121 mse_avg:1151.93 mse_y:1660.84 mse_u:223.59 mse_v:44.65 psnr_avg:17.52 psnr_y:15.93 psnr_u:24.64 psnr_v:31.63 
n:122 mse_avg:1182.47 mse_y:1704.74 mse_u:228.88 mse_v:46.99 psnr_avg:17.40 psnr_y:15.81 psnr_u:24.53 psnr_v:31.41 
n:123 mse_avg:1178.66 mse_y:1696.97 mse_u:236.25 mse_v:47.86 psnr_avg:17.42 psnr_y:15.83 psnr_u:24.40 psnr_v:31.33 
n:124 mse_avg:1131.11 mse_y:1628.46 mse_u:226.66 mse_v:46.14 psnr_avg:17.60 psnr_y:16.01 psnr_u:24.58 psnr_v:31.49 
n:125 mse_avg:1108.75 mse_y:1596.14 mse_u:222.66 mse_v:45.31 psnr_avg:17.68 psnr_y:16.10 psnr_u:24.65 psnr_v:31.57 
n:126 mse_avg:1076.95 mse_y:1551.64 mse_u:211.30 mse_v:43.86 psnr_avg:17.81 psnr_y:16.22 psnr_u:24.88 psnr_v:31.71 
n:127 mse_avg:1060.11 mse_y:1527.37 mse_u:208.09 mse_v:43.11 psnr_avg:17.88 psnr_y:16.29 psnr_u:24.95 psnr_v:31.79 
n:128 mse_avg:1069.72 mse_y:1542.62 mse_u:205.05 mse_v:42.77 psnr_avg:17.84 psnr_y:16.25 psnr_u:25.01 psnr_v:31.82 
n:129 mse_avg:1113.88 mse_y:1609.12 mse_u:203.06 mse_v:43.74 psnr_avg:17.66 psnr_y:16.06 psnr_u:25.05 psnr_v:31.72 
n:130 mse_avg:1036.87 mse_y:1497.88 mse_u:187.75 mse_v:41.97 psnr_avg:17.97 psnr_y:16.38 psnr_u:25.39 psnr_v:31.90 
n:131 mse_avg:965.82 mse_y:1395.00 mse_u:175.54 mse_v:39.39 psnr_avg:18.28 psnr_y:16.69 psnr_u:25.69 psnr_v:32.18 
n:132 mse_avg:975.01 mse_y:1409.30 mse_u:173.74 mse_v:39.15 psnr_avg:18.24 psnr_y:16.64 psnr_u:25.73 psnr_v:32.20 
n:133 mse_avg:1019.87 mse_y:1474.20 mse_u:181.67 mse_v:40.80 psnr_avg:18.05 psnr_y:16.45 psnr_u:25.54 psnr_v:32.02 
n:134 mse_avg:964.43 mse_y:1394.03 mse_u:172.20 mse_v:38.27 psnr_avg:18.29 psnr_y:16.69 psnr_u:25.77 psnr_v:32.30 
